0,6754;
1,6900;
2,6902;
3,6760;
4,6903;
5,6762;
6,6763;
7,6764;
8,6818;
9,-1;
10,-1;
11,-1;
12,6912;
13,6913;
14,6914;
15,6915;
16,6916;
17,6917;
18,6918;
19,6795;
20,6796;
21,6921;
22,6922;
23,6923;
24,6924;
25,6925;
26,6926;
27,6927;
28,6781;
29,6781;
30,6781;
31,6845;
32,6845;
33,6845;
34,6845;
35,6845;
36,6845;
37,6845;
38,6845;
39,6845;
40,6845;
41,-1;
42,-1;
43,-1;
44,-1;
45,-1;
46,-1;
47,6784;
48,6785;
49,6786;
185,0,NOT_A_WEAPON;
186,0,NOT_A_WEAPON;
187,0,NOT_A_WEAPON;
188,0,NOT_A_WEAPON;
189,0,NOT_A_WEAPON;
190,0,NOT_A_WEAPON;
191,0,NOT_A_WEAPON;
192,0,NOT_A_WEAPON;
193,6844;
194,0,NOT_A_WEAPON;
195,0,NOT_A_WEAPON;
196,0,NOT_A_WEAPON;
197,0,NOT_A_WEAPON;
198,0,NOT_A_WEAPON;
199,0,NOT_A_WEAPON;
200,0,NOT_A_WEAPON;
201,0,NOT_A_WEAPON;
202,0,NOT_A_WEAPON;
203,0,NOT_A_WEAPON;
204,0,NOT_A_WEAPON;
205,0,NOT_A_WEAPON;
206,0,NOT_A_WEAPON;
207,0,NOT_A_WEAPON;
208,0,NOT_A_WEAPON;
209,0,NOT_A_WEAPON;
210,0,NOT_A_WEAPON;
211,0,NOT_A_WEAPON;
212,0,NOT_A_WEAPON;
213,0,NOT_A_WEAPON;
214,0,NOT_A_WEAPON;
215,0,NOT_A_WEAPON;
216,0,NOT_A_WEAPON;
217,0,NOT_A_WEAPON;
218,0,NOT_A_WEAPON;
219,0,NOT_A_WEAPON;
220,0,NOT_A_WEAPON;
221,0,NOT_A_WEAPON;
222,0,NOT_A_WEAPON;
223,0,NOT_A_WEAPON;
224,0,NOT_A_WEAPON;
225,0,NOT_A_WEAPON;
226,0,NOT_A_WEAPON;
227,0,NOT_A_WEAPON;
228,0,NOT_A_WEAPON;
229,0,NOT_A_WEAPON;
230,0,NOT_A_WEAPON;
231,0,NOT_A_WEAPON;
232,0,NOT_A_WEAPON;
233,0,NOT_A_WEAPON;
234,0,NOT_A_WEAPON;
235,0,NOT_A_WEAPON;
236,0,NOT_A_WEAPON;
237,0,NOT_A_WEAPON;
238,0,NOT_A_WEAPON;
239,0,NOT_A_WEAPON;
240,0,NOT_A_WEAPON;
241,0,NOT_A_WEAPON;
242,0,NOT_A_WEAPON;
243,0,NOT_A_WEAPON;
244,0,NOT_A_WEAPON;
245,0,NOT_A_WEAPON;
246,0,NOT_A_WEAPON;
247,0,NOT_A_WEAPON;
248,0,NOT_A_WEAPON;
249,0,NOT_A_WEAPON;
